playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2017-11-29,4,5,3,5,5
Player22,2017-11-29,4,5,4,4,4
Player17,2017-11-29,5,5,2,4,5
Player14,2017-11-29,2,5,3,3,5
Player7,2017-11-29,5,5,4,5,5
Player19,2017-11-29,3,5,4,2,5
Player29,2017-11-29,3,5,4,5,4
Player23,2017-11-29,4,5,3,5,5
Player32,2017-11-29,4,5,5,5,5
Player2,2017-11-29,4,5,4,5,4
Player20,2017-11-29,4,5,4,5,5
Player5,2017-11-29,2,4,2,3,4
Player10,2017-11-29,3,4,3,4,4
Player11,2017-11-29,5,5,3,2,4
Player30,2017-11-29,3,5,5,3,5
Player16,2017-11-29,4,4,4,4,3
Player25,2017-11-29,5,5,5,4,5
Player9,2017-11-29,5,5,4,5,5
Player3,2017-11-29,3,4,3,3,4
Player1,2017-11-29,3,5,2,5,4
