playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2017-10-21,2,5,2,2,5
Player6,2017-10-21,4,5,4,3,5
Player21,2017-10-21,5,5,5,5,5
Player3,2017-10-21,4,4,3,4,4
Player14,2017-10-21,2,5,2,2,5
Player27,2017-10-21,3,5,3,3,4
Player7,2017-10-21,5,5,4,5,5
Player19,2017-10-21,3,5,5,4,5
Player1,2017-10-21,3,5,2,5,4
Player29,2017-10-21,3,4,3,4,4
Player2,2017-10-21,3,5,3,4,4
Player5,2017-10-21,3,4,3,3,4
Player10,2017-10-21,5,5,5,5,5
Player11,2017-10-21,4,4,2,3,0
Player30,2017-10-21,5,5,5,4,5
Player16,2017-10-21,3,3,3,3,4
Player9,2017-10-21,2,5,1,3,4
Player32,2017-10-21,5,5,5,4,5
Player26,2017-10-21,5,5,4,4,5
