playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2017-10-15,2,5,3,3,4
Player6,2017-10-15,3,5,4,4,4
Player21,2017-10-15,5,5,5,4,5
Player3,2017-10-15,5,4,5,3,5
Player14,2017-10-15,3,5,3,2,5
Player27,2017-10-15,5,5,5,4,5
Player7,2017-10-15,4,5,5,5,4
Player19,2017-10-15,3,5,5,3,5
Player29,2017-10-15,3,5,4,5,5
Player32,2017-10-15,5,5,5,4,5
Player2,2017-10-15,3,5,3,5,5
Player5,2017-10-15,4,4,4,4,4
Player10,2017-10-15,3,4,4,4,4
Player11,2017-10-15,4,4,4,4,4
Player30,2017-10-15,5,5,5,3,5
Player16,2017-10-15,4,4,4,4,4
Player25,2017-10-15,5,5,5,5,5
Player9,2017-10-15,2,5,2,3,4
Player1,2017-10-15,3,5,3,5,4
Player4,2017-10-15,5,5,4,4,5
